tweet,date,user_location,id,link
"Detesto que BH no haga nada de verdad, nojoda. Hasta el miss Colombia le dio mejor promoción:)",2020-11-17 05:02:18,    ⠀𖥻  엑  ᎓  소    ⠀,1328564094463569920,https://twitter.com/i/web/status/1328564094463569920
Laura Victoria Olascuaga es la nueva Miss Universe Colombia 2020. ¡Felicitaciones!Laura Victoria Olascuaga es la nueva Miss Universe Colombia 2020. ¡Felicitaciones! https://t.co/E00jsorwzL,2020-11-17 05:02:15,Colombia,1328564083688353792,https://twitter.com/i/web/status/1328564083688353792
"Nos jodimos, de ahora en adelante solo costeñas van a elegir de Miss Colombia, y además se llevarán todos los premios.

El premio al mejor cuerpo era para Miss Bogotá o Miss Cundinamarca, la cartageneros NO se lo merecía.",2020-11-17 05:01:51,Colombia,1328563981276094465,https://twitter.com/i/web/status/1328563981276094465
"#MissUniverseColombia sin duda todas las mujeres tiene su belleza única, pero déjeme decirle que si no pudieron llevar a María Fernanda que se lo merecía pues ya tiene la corona de miss Colombia, sin embargo 
Juliana era de mis favoritas como representen Colombia #MissMeta https://t.co/jyYmKtLhlz",2020-11-17 05:01:27,"Bogotá, DC, Colombia",1328563879375462404,https://twitter.com/i/web/status/1328563879375462404
"Vea sí esas mujeres pueden estar en un Miss Colombia, yo también, consigo un narco que me patrocine y llóralo",2020-11-17 05:00:55,"Santa Marta, Colombia",1328563745665191937,https://twitter.com/i/web/status/1328563745665191937
"Yo la verdad amo que ganara miss bolivar, yo a ella la sigo desde que fue a señorita colombia, pero para nadie es un secreto que se vio la injusticia y la tramoya en el concurso. Igual le deseo lo mejor y espero que la Corona de miss universo vuelva a colombia 😉",2020-11-17 05:00:46,"Cartagena, Colombia",1328563711225761800,https://twitter.com/i/web/status/1328563711225761800
"However, Laura ya ganó y si todo pasó como pasó, espero que cuando llegue a Miss Universo sea una toda una oradora y maneje un Inglés avanzado que la haga ser una digna representante de Colombia.",2020-11-17 05:00:17,Colombia,1328563587342864384,https://twitter.com/i/web/status/1328563587342864384
"@Gonzalezlaura_ Creo que aca lo hicieron para dar de que hablar , para que este miss universe Colombia quedará bien ante los ojos de los colombianos más que una inclusión y no es es por menospreciar a la señorita santander ni mucho menos pero este miss universe Colombia lo peor",2020-11-17 05:00:15,"Medellín, Colombia",1328563578480287746,https://twitter.com/i/web/status/1328563578480287746
"Qué qué. Antes de Gabriela Tafur la Señorita Colombia más querida y amada fue Ariadna. Fue la mejor de los últimos años. 

La que nadie quería era Paulina, pero se ganó el Miss Universo y se olvidó su sonrisa prominente y su tan gris año como Señorita Colombia. https://t.co/fFri48Oreo",2020-11-17 04:59:43,"Arauca, Colombia",1328563445558611970,https://twitter.com/i/web/status/1328563445558611970
"Señorita Bolívar Laura Olascuaga nueva Miss universo Colombia
https://t.co/DO4sRV15hF https://t.co/2oVubZKrJC",2020-11-17 04:59:25,"Cartagena, Colombia",1328563370321121280,https://twitter.com/i/web/status/1328563370321121280
"Presentador : que pasaría si tú fueras la próxima Miss Universe Colombia ?

Norte de Santander : primero que todo ..... Quítame ese hp micrófono , no vez que soy muda caremonda 
Gracias 

#MissUniverseColombia https://t.co/GCFQa3TNAt",2020-11-17 04:59:21,"Magdalena, Colombia",1328563352277233665,https://twitter.com/i/web/status/1328563352277233665
"Colombia aquí esta tú reina. @lauraolascuaga
MISS UNIVERSE COLOMBIA 2020 🇨🇴
#ColombiaUnida

#missuniversecolombia #missuniverse #colombiaunida https://t.co/LeT8yOlweA https://t.co/mBhQuEhZQc",2020-11-17 04:59:14,"Chimichagua, Cesar",1328563321788903424,https://twitter.com/i/web/status/1328563321788903424
